year,sex,name,n,rank,nation
1996,F,SOPHIE,7087,1,England & Wales
1996,F,CHLOE,6824,2,England & Wales
1996,F,JESSICA,6711,3,England & Wales
1996,F,EMILY,6415,4,England & Wales
1996,F,LAUREN,6299,5,England & Wales
1996,F,HANNAH,5916,6,England & Wales
1996,F,CHARLOTTE,5866,7,England & Wales
1996,F,REBECCA,5828,8,England & Wales
1996,F,AMY,5206,9,England & Wales
1996,F,MEGAN,4948,10,England & Wales
1996,F,SHANNON,4649,11,England & Wales
1996,F,KATIE,4337,12,England & Wales
1996,F,BETHANY,4271,13,England & Wales
1996,F,EMMA,4232,14,England & Wales
1996,F,LUCY,3753,15,England & Wales
1996,F,GEORGIA,3723,16,England & Wales
1996,F,LAURA,3582,17,England & Wales
1996,F,SARAH,3111,18,England & Wales
1996,F,JADE,2750,19,England & Wales
1996,F,DANIELLE,2641,20,England & Wales
1996,F,ABIGAIL,2595,21,England & Wales
1996,F,ELEANOR,2555,22,England & Wales
1996,F,HOLLY,2498,23,England & Wales
1996,F,OLIVIA,2456,24,England & Wales
1996,F,ALICE,2357,25,England & Wales
1996,F,ELIZABETH,2225,26,England & Wales
1996,F,RACHEL,2105,27,England & Wales
1996,F,PAIGE,2052,28,England & Wales
1996,F,MOLLY,2026,29,England & Wales
1996,F,ELLIE,1900,30,England & Wales
1996,F,ZOE,1897,31,England & Wales
1996,F,SAMANTHA,1854,32,England & Wales
1996,F,NATASHA,1751,33,England & Wales
1996,F,CHELSEA,1735,34,England & Wales
1996,F,LEAH,1705,35,England & Wales
1996,F,NICOLE,1679,36,England & Wales
1996,F,VICTORIA,1627,37,England & Wales
1996,F,ALEXANDRA,1595,38,England & Wales
1996,F,GEORGINA,1593,39,England & Wales
1996,F,AMBER,1422,40,England & Wales
1996,F,GRACE,1421,41,England & Wales
1996,F,NATALIE,1393,42,England & Wales
1996,F,JODIE,1354,43,England & Wales
1996,F,LOUISE,1309,44,England & Wales
1996,F,ABBIE,1297,45,England & Wales
1996,F,MELISSA,1282,46,England & Wales
1996,F,ANNA,1274,47,England & Wales
1996,F,KATHERINE,1266,48,England & Wales
1996,F,STEPHANIE,1266,48,England & Wales
1996,F,GEMMA,1261,50,England & Wales
1996,F,KAYLEIGH,1206,51,England & Wales
1996,F,COURTNEY,1203,52,England & Wales
1996,F,KIRSTY,1202,53,England & Wales
1996,F,JENNIFER,1200,54,England & Wales
1996,F,JASMINE,1145,55,England & Wales
1996,F,ELLA,1137,56,England & Wales
1996,F,HAYLEY,1088,57,England & Wales
1996,F,ASHLEIGH,1081,58,England & Wales
1996,F,KATE,1055,59,England & Wales
1996,F,HARRIET,1046,60,England & Wales
1996,F,LYDIA,1009,61,England & Wales
1996,F,FRANCESCA,966,62,England & Wales
1996,F,AMELIA,929,63,England & Wales
1996,F,ELLEN,929,63,England & Wales
1996,F,PHOEBE,910,65,England & Wales
1996,F,CAITLIN,906,66,England & Wales
1996,F,HOLLIE,896,67,England & Wales
1996,F,CATHERINE,880,68,England & Wales
1996,F,ROSIE,879,69,England & Wales
1996,F,AIMEE,876,70,England & Wales
1996,F,DAISY,828,71,England & Wales
1996,F,BETHAN,825,72,England & Wales
1996,F,KIMBERLEY,799,73,England & Wales
1996,F,KELLY,789,74,England & Wales
1996,F,NAOMI,766,75,England & Wales
1996,F,SIAN,731,76,England & Wales
1996,F,RACHAEL,721,77,England & Wales
1996,F,HEATHER,713,78,England & Wales
1996,F,DEMI,689,79,England & Wales
1996,F,ROBYN,683,80,England & Wales
1996,F,MOLLIE,667,81,England & Wales
1996,F,YASMIN,661,82,England & Wales
1996,F,BETH,656,83,England & Wales
1996,F,RHIANNON,654,84,England & Wales
1996,F,LILY,651,85,England & Wales
1996,F,KATHRYN,635,86,England & Wales
1996,F,NICOLA,629,87,England & Wales
1996,F,LEANNE,616,88,England & Wales
1996,F,CHANTELLE,609,89,England & Wales
1996,F,CLAIRE,564,90,England & Wales
1996,F,IMOGEN,555,91,England & Wales
1996,F,POPPY,537,92,England & Wales
1996,F,MADELEINE,536,93,England & Wales
1996,F,ISOBEL,522,94,England & Wales
1996,F,SOPHIA,516,95,England & Wales
1996,F,MARIA,511,96,England & Wales
1996,F,STACEY,509,97,England & Wales
1996,F,ALICIA,504,98,England & Wales
1996,F,GABRIELLE,501,99,England & Wales
1996,F,ERIN,486,100,England & Wales
1996,F,JEMMA,480,101,England & Wales
1996,F,ISABELLE,469,102,England & Wales
1996,F,RUBY,458,103,England & Wales
1996,F,ISABEL,455,104,England & Wales
1996,F,LISA,445,105,England & Wales
1996,F,ISABELLA,441,106,England & Wales
1996,F,KELSEY,438,107,England & Wales
1996,F,HELEN,435,108,England & Wales
1996,F,REBEKAH,424,109,England & Wales
1996,F,TARA,422,110,England & Wales
1996,F,KATY,413,111,England & Wales
1996,F,FAYE,405,112,England & Wales
1996,F,CHARLIE,404,113,England & Wales
1996,F,SARA,404,113,England & Wales
1996,F,TONI,400,115,England & Wales
1996,F,MIA,397,116,England & Wales
1996,F,TAMARA,397,116,England & Wales
1996,F,FREYA,394,118,England & Wales
1996,F,ANNIE,389,119,England & Wales
1996,F,NIAMH,381,120,England & Wales
1996,F,RUTH,381,120,England & Wales
1996,F,ANNABEL,380,122,England & Wales
1996,F,MARY,380,122,England & Wales
1996,F,MICHAELA,376,124,England & Wales
1996,F,JOANNA,374,125,England & Wales
1996,F,JORDAN,372,126,England & Wales
1996,F,EVE,369,127,England & Wales
1996,F,ALISHA,363,128,England & Wales
1996,F,BRYONY,362,129,England & Wales
